dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
1M_gz,1,990830,R,0.6215903781949541,12,5.690337090413777e-12,0.09793290600617233,0.3744248832955461,0.8861064694589958,1.999999999999626
1M_gz,1,990830,R,0.6215903781949541,13,5.573319583618286e-14,0.122198585945066,0.434473017696942,0.9690117235352725,1.9999999999999587
1M_gz,1,990830,R,0.6215903781949541,14,4.75175454539567e-14,0.14888975564388585,0.49022031642494646,1.0468355262938784,1.9999999999959863
1M_gz,1,990830,R,0.6215903781949541,15,2.042810365310288e-14,0.1789232571418774,0.5430940382789329,1.122901676987222,1.9999999999910303
1M_gz,1,990830,R,0.6215903781949541,16,2.3912427593586472e-11,0.20899457266667743,0.5916145127487987,1.1915501745356596,1.9999999999845055
1M_gz,1,990830,R,0.6215903781949541,17,2.1107560144173476e-12,0.24030142621737235,0.6367474944624937,1.2591620216095676,1.99999999998984
1M_gz,1,990830,R,0.6215903781949541,18,2.2097879082139116e-12,0.27221748251648714,0.6797457750735558,1.3141010071060073,1.9999999999940163
1M_gz,1,990830,R,0.6215903781949541,19,3.222644373579442e-12,0.3052037004947537,0.720498844459688,1.371965103463943,1.9999999997686957
1M_gz,1,990830,R,0.6215903781949541,20,2.689970468594538e-11,0.33678306474748065,0.7634681378689946,1.4219330513226325,1.9999999999992535
1M_gz,1,990830,R,0.6215903781949541,21,1.2168044349891716e-13,0.3698285260750767,0.809778414958357,1.4773525038635997,1.9999999999901763
1M_gz,1,990830,R,0.6215903781949541,22,2.3081536681957004e-13,0.40052840553471014,0.8536650706358203,1.5295462577694683,1.999999999996656
1M_gz,1,990830,R,0.6215903781949541,23,1.2378986724570495e-13,0.428231193659937,0.9019833149086651,1.5791635291291515,1.9999999999966276
1M_gz,1,990830,R,0.6215903781949541,24,3.3084646133829665e-14,0.4598862984129208,0.9545030427274297,1.6246506271233794,1.9999999999970177
1M_gz,1,990830,R,0.6215903781949541,25,9.032441461442886e-12,0.48491822252847105,1.0019322439405798,1.6606504757930036,1.9999999999996394
1M_gz,1,990830,R,0.6215903781949541,26,2.940425680719727e-12,0.5104222788339379,1.0540489931714734,1.692732519879165,1.9999999999989513
1M_gz,1,990830,R,0.6215903781949541,27,5.4080073752516e-12,0.5335697205622691,1.104803567308009,1.7173420686173235,1.9999999999985392
1M_gz,1,990830,R,0.6215903781949541,28,7.030975801569639e-11,0.553299450254225,1.1488925562798542,1.7368169670283835,1.9999999999997742
1M_gz,1,990830,R,0.6215903781949541,29,1.3569145806968663e-11,0.569056874597639,1.1846796280579186,1.7519315362186485,1.9999999999999236
1M_gz,1,990830,R,0.6215903781949541,30,4.466316205764542e-12,0.5808059705006043,1.2188432524642128,1.7684070912471779,1.9999999999949316
1M_gz,1,990830,R,0.6215903781949541,31,5.74651437545981e-13,0.5886796071930134,1.2528987964336817,1.780662323117631,1.9999999999904943
1M_gz,1,990830,R,0.6215903781949541,32,3.4631186807132508e-12,0.600946064760731,1.2933454774224622,1.7933484148541665,1.9999999999973017
1M_gz,1,990830,R,0.6215903781949541,33,3.157474282033945e-12,0.6188205651358656,1.338511651576695,1.804732147282122,1.999999999997385
1M_gz,1,990830,R,0.6215903781949541,34,3.177014207267348e-11,0.6456182485798289,1.385785405008858,1.814598046242552,1.9999999999946483
1M_gz,1,990830,R,0.6215903781949541,35,6.254996520738132e-13,0.6852665975932474,1.4364379536809726,1.8244425001739872,1.9999999999996287
1M_gz,1,990830,R,0.6215903781949541,36,5.172529071728604e-13,0.7455777930363374,1.480162136497642,1.832371387635877,1.9999999999927904
1M_gz,1,990830,R,0.6215903781949541,37,1.1247291986649088e-10,0.8187007274468725,1.5166069174406573,1.8384932219192271,1.9999999999944935
1M_gz,1,990830,R,0.6215903781949541,38,3.501432477293065e-11,0.9035921800386256,1.548407228219185,1.8449828865048241,1.999999999997598
1M_gz,1,990830,R,0.6215903781949541,39,4.962196209490344e-10,0.9869870729660994,1.5746342176983885,1.8501352036401473,1.999999999998235
1M_gz,1,990830,R,0.6215903781949541,40,3.1277280765351634e-10,1.0644521002661576,1.596319215568489,1.8557542284211404,1.9999999999995506
1M_gz,1,990830,R,0.6215903781949541,41,0.06325185060267258,1.1427705449673367,1.6204063228540915,1.862452001388493,1.999999999997916
