dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_100000,1,100000,py,ScaleData,2.65164061,19
subsample_it_1_size_100000,1,100000,py,RunPCA,30.115841128,19
subsample_it_1_size_100000,1,100000,py,FindNeighbors,52.934237443,19
subsample_it_1_size_100000,1,100000,py,FindClusters,37.252068804,19
subsample_it_1_size_100000,1,100000,py,RunUMAP,323.852167842,19
subsample_it_1_size_100000,1,100000,py,FindAllMarkers,2309.628684882,19
subsample_it_1_size_100000,1,100000,jl32_opt,CreateSeuratObject,8.877724385,26
subsample_it_1_size_100000,1,100000,jl32_opt,NormalizeData,4.66465096,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindVariableFeatures,3.276372609,26
subsample_it_1_size_100000,1,100000,jl32_opt,ScaleData,0.850586377,26
subsample_it_1_size_100000,1,100000,jl32_opt,RunPCA,15.217456231,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindNeighbors,4.088155057,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindClusters,49.743368727,26
subsample_it_1_size_100000,1,100000,jl32_opt,RunUMAP,175.390207537,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindAllMarkers,49.964512275,26
subsample_it_1_size_100000,1,100000,jl_opt,CreateSeuratObject,8.017935859,27
subsample_it_1_size_100000,1,100000,jl_opt,NormalizeData,5.523427309,27
subsample_it_1_size_100000,1,100000,jl_opt,FindVariableFeatures,3.097706437,27
subsample_it_1_size_100000,1,100000,jl_opt,ScaleData,0.864315687,27
subsample_it_1_size_100000,1,100000,jl_opt,RunPCA,16.745810253,27
subsample_it_1_size_100000,1,100000,jl_opt,FindNeighbors,4.432719789,27
subsample_it_1_size_100000,1,100000,jl_opt,FindClusters,46.063500018,27
subsample_it_1_size_100000,1,100000,jl_opt,RunUMAP,189.058707108,27
subsample_it_1_size_100000,1,100000,jl_opt,FindAllMarkers,52.17619966,27
subsample_it_1_size_12000,1,12000,R,CreateSeuratObject,4.831505747,17
subsample_it_1_size_12000,1,12000,R,NormalizeData,2.295027306,17
subsample_it_1_size_12000,1,12000,R,FindVariableFeatures,4.822469992,17
subsample_it_1_size_12000,1,12000,R,ScaleData,1.68513365,17
subsample_it_1_size_12000,1,12000,R,RunPCA,12.151132102,17
subsample_it_1_size_12000,1,12000,R,FindNeighbors,2.961264849,17
subsample_it_1_size_12000,1,12000,R,FindClusters,1.360850248,17
subsample_it_1_size_12000,1,12000,R,RunUMAP,21.440508759,17
subsample_it_1_size_12000,1,12000,R,FindAllMarkers,289.45565662,17
subsample_it_1_size_12000,1,12000,jl,CreateSeuratObject,0.944323384,19
subsample_it_1_size_12000,1,12000,jl,NormalizeData,0.630075447,19
subsample_it_1_size_12000,1,12000,jl,FindVariableFeatures,0.533167631,19
subsample_it_1_size_12000,1,12000,jl,ScaleData,0.053322846,19
subsample_it_1_size_12000,1,12000,jl,RunPCA,7.174993309,19
subsample_it_1_size_12000,1,12000,jl,FindNeighbors,0.403021145,19
subsample_it_1_size_12000,1,12000,jl,FindClusters,1.554767543,19
subsample_it_1_size_12000,1,12000,jl,RunUMAP,33.591000165,19
subsample_it_1_size_12000,1,12000,jl,FindAllMarkers,15.930637181,19
subsample_it_1_size_12000,1,12000,jl32,CreateSeuratObject,0.918412872,18
subsample_it_1_size_12000,1,12000,jl32,NormalizeData,0.514465813,18
subsample_it_1_size_12000,1,12000,jl32,FindVariableFeatures,0.471975268,18
subsample_it_1_size_12000,1,12000,jl32,ScaleData,0.057455958,18
subsample_it_1_size_12000,1,12000,jl32,RunPCA,3.449036995,18
subsample_it_1_size_12000,1,12000,jl32,FindNeighbors,0.290285829,18
subsample_it_1_size_12000,1,12000,jl32,FindClusters,1.442080517,18
subsample_it_1_size_12000,1,12000,jl32,RunUMAP,29.148749573,18
subsample_it_1_size_12000,1,12000,jl32,FindAllMarkers,13.010258757,18
subsample_it_1_size_12000,1,12000,py,CreateSeuratObject,0.805518539,15
subsample_it_1_size_12000,1,12000,py,NormalizeData,0.588198439,15
subsample_it_1_size_12000,1,12000,py,FindVariableFeatures,2.382416214,15
subsample_it_1_size_12000,1,12000,py,ScaleData,0.310759631,15
subsample_it_1_size_12000,1,12000,py,RunPCA,2.677240298,15
subsample_it_1_size_12000,1,12000,py,FindNeighbors,2.420684747,15
subsample_it_1_size_12000,1,12000,py,FindClusters,1.289432619,15
subsample_it_1_size_12000,1,12000,py,RunUMAP,33.437070737,15
subsample_it_1_size_12000,1,12000,py,FindAllMarkers,193.331519429,15
subsample_it_1_size_12000,1,12000,jl32_opt,CreateSeuratObject,1.298231877,19
subsample_it_1_size_12000,1,12000,jl32_opt,NormalizeData,0.538972918,19
subsample_it_1_size_12000,1,12000,jl32_opt,FindVariableFeatures,0.519243495,19
subsample_it_1_size_12000,1,12000,jl32_opt,ScaleData,0.0538991,19
subsample_it_1_size_12000,1,12000,jl32_opt,RunPCA,1.525999436,19
subsample_it_1_size_12000,1,12000,jl32_opt,FindNeighbors,0.308105917,19
subsample_it_1_size_12000,1,12000,jl32_opt,FindClusters,1.304108738,19
subsample_it_1_size_12000,1,12000,jl32_opt,RunUMAP,19.674321855,19
subsample_it_1_size_12000,1,12000,jl32_opt,FindAllMarkers,3.749994436,19
subsample_it_1_size_12000,1,12000,jl_opt,CreateSeuratObject,2.344843054,18
subsample_it_1_size_12000,1,12000,jl_opt,NormalizeData,0.667566549,18
subsample_it_1_size_12000,1,12000,jl_opt,FindVariableFeatures,0.521056265,18
subsample_it_1_size_12000,1,12000,jl_opt,ScaleData,0.069298377,18
subsample_it_1_size_12000,1,12000,jl_opt,RunPCA,1.446534543,18
subsample_it_1_size_12000,1,12000,jl_opt,FindNeighbors,0.339205037,18
subsample_it_1_size_12000,1,12000,jl_opt,FindClusters,1.470987086,18
subsample_it_1_size_12000,1,12000,jl_opt,RunUMAP,21.172811035,18
