dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_100000,1,100000,py,ScaleData,2.595869877,19
subsample_it_1_size_100000,1,100000,py,RunPCA,29.484625446,19
subsample_it_1_size_100000,1,100000,py,FindNeighbors,57.20530304,19
subsample_it_1_size_100000,1,100000,py,FindClusters,37.732690524,19
subsample_it_1_size_100000,1,100000,py,RunUMAP,321.681806162,19
subsample_it_1_size_100000,1,100000,py,FindAllMarkers,2300.393767908,19
subsample_it_1_size_100000,1,100000,jl32_opt,CreateSeuratObject,8.602337888,26
subsample_it_1_size_100000,1,100000,jl32_opt,NormalizeData,4.605253203,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindVariableFeatures,3.149161562,26
subsample_it_1_size_100000,1,100000,jl32_opt,ScaleData,0.765422654,26
subsample_it_1_size_100000,1,100000,jl32_opt,RunPCA,15.147828788,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindNeighbors,4.312682505,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindClusters,47.805069451,26
subsample_it_1_size_100000,1,100000,jl32_opt,RunUMAP,175.972031343,26
subsample_it_1_size_100000,1,100000,jl32_opt,FindAllMarkers,51.247753415,26
subsample_it_1_size_100000,1,100000,jl_opt,CreateSeuratObject,9.451945296,25
subsample_it_1_size_100000,1,100000,jl_opt,NormalizeData,5.504758435,25
subsample_it_1_size_100000,1,100000,jl_opt,FindVariableFeatures,3.374370057,25
subsample_it_1_size_100000,1,100000,jl_opt,ScaleData,0.935337277,25
subsample_it_1_size_100000,1,100000,jl_opt,RunPCA,16.510341436,25
subsample_it_1_size_100000,1,100000,jl_opt,FindNeighbors,4.619948666,25
subsample_it_1_size_100000,1,100000,jl_opt,FindClusters,46.733822277,25
subsample_it_1_size_100000,1,100000,jl_opt,RunUMAP,189.144743481,25
subsample_it_1_size_100000,1,100000,jl_opt,FindAllMarkers,49.207712818,25
subsample_it_1_size_12000,1,12000,R,CreateSeuratObject,4.767255904,17
subsample_it_1_size_12000,1,12000,R,NormalizeData,2.12612842,17
subsample_it_1_size_12000,1,12000,R,FindVariableFeatures,4.87858486,17
subsample_it_1_size_12000,1,12000,R,ScaleData,1.436499252,17
subsample_it_1_size_12000,1,12000,R,RunPCA,12.49569512,17
subsample_it_1_size_12000,1,12000,R,FindNeighbors,2.899661489,17
subsample_it_1_size_12000,1,12000,R,FindClusters,1.394982163,17
subsample_it_1_size_12000,1,12000,R,RunUMAP,21.76847509,17
subsample_it_1_size_12000,1,12000,R,FindAllMarkers,307.676372317,17
subsample_it_1_size_12000,1,12000,jl,CreateSeuratObject,0.859005031,18
subsample_it_1_size_12000,1,12000,jl,NormalizeData,0.669645475,18
subsample_it_1_size_12000,1,12000,jl,FindVariableFeatures,0.467463614,18
subsample_it_1_size_12000,1,12000,jl,ScaleData,0.060677167,18
subsample_it_1_size_12000,1,12000,jl,RunPCA,7.624227371,18
subsample_it_1_size_12000,1,12000,jl,FindNeighbors,0.420350278,18
subsample_it_1_size_12000,1,12000,jl,FindClusters,1.436973447,18
subsample_it_1_size_12000,1,12000,jl,RunUMAP,31.237542228,18
subsample_it_1_size_12000,1,12000,jl,FindAllMarkers,14.688968545,18
subsample_it_1_size_12000,1,12000,jl32,CreateSeuratObject,0.881085411,17
subsample_it_1_size_12000,1,12000,jl32,NormalizeData,0.519243842,17
subsample_it_1_size_12000,1,12000,jl32,FindVariableFeatures,0.509065318,17
subsample_it_1_size_12000,1,12000,jl32,ScaleData,0.184673138,17
