dataset,it,size,implementation,ari,ri,jaccard
subsample_it_1_size_50000,1,50000,jl32,0.700033479405655,0.9377270545857921,0.9860973187686196
subsample_it_1_size_50000,1,50000,py,0.5849928577725092,0.9233927770849819,1.0
subsample_it_1_size_500000,1,500000,jl,0.7354651470062598,0.9536281103226827,0.9900497512437811
subsample_it_1_size_500000,1,500000,jl32,0.5668646777682802,0.9345194869269262,0.9900497512437811
subsample_it_1_size_500000,1,500000,py,0.6596100808827626,0.9342746941278446,0.999000499750125
subsample_it_1_size_6000,1,6000,jl,0.9262226861973692,0.9867976743250266,0.9890601690701144
subsample_it_1_size_6000,1,6000,jl32,0.9381695497231297,0.9889098016012677,0.9890601690701144
subsample_it_1_size_6000,1,6000,py,0.7073699168517258,0.9377072072914524,1.0
subsample_it_1_size_75000,1,75000,jl,0.5857116998213686,0.9288634316318106,0.9920318725099602
subsample_it_1_size_75000,1,75000,jl32,0.7861148140226346,0.9671636843672584,0.9920318725099602
subsample_it_1_size_75000,1,75000,py,0.5723024878131722,0.9194492942243219,1.0
subsample_it_1_size_750000,1,750000,jl,0.7235572152326798,0.9560682302272362,0.9890601690701144
subsample_it_1_size_750000,1,750000,jl32,0.6761488899968554,0.9544365934968736,0.9890601690701144
subsample_it_1_size_750000,1,750000,py,0.5407006098743137,0.9251824957001362,1.0
subsample_it_2_size_100000,2,100000,jl,0.8418821369035266,0.9749924024175589,0.9870839542970691
subsample_it_2_size_100000,2,100000,jl32,0.8068457491484591,0.9703057735841883,0.9870839542970691
subsample_it_2_size_100000,2,100000,py,0.6648717157890592,0.9392159566555512,1.0
subsample_it_2_size_12000,2,12000,jl,0.8732637632644539,0.9728449593196514,0.9910403185664509
subsample_it_2_size_12000,2,12000,jl32,0.9169727236648737,0.9816980550626702,0.9910403185664509
subsample_it_2_size_12000,2,12000,py,0.5023221746484346,0.8908620134429648,1.0
subsample_it_2_size_125000,2,125000,jl,0.8287868563818981,0.9731690096429598,0.9910403185664509
subsample_it_2_size_125000,2,125000,jl32,0.7625545112633991,0.9621297946578392,0.9910403185664509
subsample_it_2_size_125000,2,125000,py,0.6266441576590641,0.9330322337177672,1.0
subsample_it_2_size_25000,2,25000,jl,0.7559248718980474,0.9544835164002855,0.9900497512437811
subsample_it_2_size_25000,2,25000,jl32,0.7322969611121022,0.9509776935400174,0.9900497512437811
subsample_it_2_size_25000,2,25000,py,0.7326128586312135,0.9402452583685604,1.0
subsample_it_2_size_250000,2,250000,jl,0.753831070033118,0.9578462816845082,0.9900497512437811
subsample_it_2_size_250000,2,250000,jl32,0.6733915456360288,0.9409089758032868,0.9900497512437811
subsample_it_2_size_250000,2,250000,py,0.6943695059464826,0.9448043654206479,1.0
subsample_it_2_size_3000,2,3000,jl,0.9622866378316391,0.9906308025948377,0.9920318725099602
subsample_it_2_size_3000,2,3000,jl32,0.8952487937890612,0.9744665015700824,0.9920318725099602
subsample_it_2_size_3000,2,3000,py,0.6280151299285326,0.9002569594014945,1.0
subsample_it_2_size_50000,2,50000,jl,0.717014094092423,0.9480910894769284,0.9851116625310173
subsample_it_2_size_50000,2,50000,jl32,0.8214168680640415,0.9615155697377874,0.9851116625310173
subsample_it_2_size_50000,2,50000,py,0.8279047282444039,0.9631970054657029,1.0
subsample_it_2_size_500000,2,500000,jl,0.6364035573318088,0.9326119031463455,0.9890601690701144
subsample_it_2_size_500000,2,500000,jl32,0.6582740302520897,0.9454369153803598,0.9890601690701144
subsample_it_2_size_500000,2,500000,py,0.6200713020589782,0.933502305814779,1.0
subsample_it_2_size_6000,2,6000,jl,0.9250701411677658,0.982599526159048,0.9930244145490782
subsample_it_2_size_6000,2,6000,jl32,0.9697237411927464,0.992788694034695,0.9930244145490782
subsample_it_2_size_6000,2,6000,py,0.7403898910668304,0.9319731524143041,1.0
subsample_it_2_size_75000,2,75000,jl,0.751409050477409,0.9575349273182182,0.9890601690701144
subsample_it_2_size_75000,2,75000,jl32,0.7310536288569642,0.9581644429978088,0.9890601690701144
subsample_it_2_size_75000,2,75000,py,0.6900793101557331,0.944778936475887,1.0
subsample_it_2_size_750000,2,750000,jl,0.7160320028606675,0.9550005472902302,0.9851116625310173
subsample_it_2_size_750000,2,750000,jl32,0.6237193072510319,0.9452230966807327,0.9851116625310173
subsample_it_2_size_750000,2,750000,py,0.5770319391473127,0.9241214034132381,1.0
subsample_it_3_size_100000,3,100000,jl,0.8091372054165573,0.9708632099486041,0.9841269841269841
subsample_it_3_size_100000,3,100000,jl32,0.8222555689109341,0.97282437055993,0.9841269841269841
subsample_it_3_size_100000,3,100000,py,0.7734886824346806,0.9605333092170113,1.0
subsample_it_3_size_12000,3,12000,jl,0.7912038635688883,0.9582063172501765,0.9851116625310173
subsample_it_3_size_12000,3,12000,jl32,0.8872027707911341,0.9774800597768026,0.9851116625310173
subsample_it_3_size_12000,3,12000,py,0.5814642957892818,0.9047433997767822,1.0
subsample_it_3_size_125000,3,125000,jl,0.8062785440563834,0.9680161375975614,0.9890601690701144
subsample_it_3_size_125000,3,125000,jl32,0.8438546014993007,0.9750366083102033,0.9890601690701144
subsample_it_3_size_125000,3,125000,py,0.5756720831443681,0.9259870995146734,1.0
subsample_it_3_size_25000,3,25000,jl,0.8880631403556148,0.9787903506887051,0.9890601690701144
subsample_it_3_size_25000,3,25000,jl32,0.8309523009644099,0.9683993244811003,0.9890601690701144
subsample_it_3_size_25000,3,25000,py,0.8325562124423952,0.9680116538896133,1.0
subsample_it_3_size_250000,3,250000,jl,0.7716699814445471,0.9607678489579226,0.9880715705765407
subsample_it_3_size_250000,3,250000,jl32,0.720170893895292,0.9491361537730858,0.9880715705765407
subsample_it_3_size_250000,3,250000,py,0.7362998606275398,0.9496570464383405,1.0
subsample_it_3_size_3000,3,3000,jl,0.9430154431974287,0.9875146157329494,0.9960079840319361
subsample_it_3_size_3000,3,3000,jl32,0.9531841562721617,0.9897021882483875,0.9960079840319361
subsample_it_3_size_3000,3,3000,py,0.6175252487191605,0.9094169251877234,1.0
subsample_it_3_size_50000,3,50000,jl,0.5888948115155722,0.9276693520377315,0.9870839542970691
subsample_it_3_size_50000,3,50000,jl32,0.6161286476693387,0.932911534692195,0.9870839542970691
subsample_it_3_size_50000,3,50000,py,0.5826550082753192,0.9189982422955681,1.0
subsample_it_3_size_500000,3,500000,jl,0.767110540938002,0.9633944025629644,0.9890601690701144
subsample_it_3_size_500000,3,500000,jl32,0.6691197865341912,0.950069806630022,0.9890601690701144
subsample_it_3_size_500000,3,500000,py,0.669629237611859,0.9426851518169775,1.0
subsample_it_3_size_6000,3,6000,jl,0.7317396022744088,0.9396150069775853,0.998001998001998
subsample_it_3_size_6000,3,6000,jl32,0.7025105922453705,0.9312918681343859,0.998001998001998
subsample_it_3_size_6000,3,6000,py,0.5916072875252572,0.9058171459234904,1.0
subsample_it_3_size_75000,3,75000,jl,0.8200154784680006,0.9680483566122148,0.9870839542970691
subsample_it_3_size_75000,3,75000,jl32,0.895924475402253,0.9820360494597604,0.9870839542970691
subsample_it_3_size_75000,3,75000,py,0.5393359441941009,0.9128975907430193,1.0
subsample_it_3_size_750000,3,750000,jl,0.7585345123860877,0.9601417956873664,0.9880715705765407
subsample_it_3_size_750000,3,750000,jl32,0.5781617422645005,0.9413529603400603,0.9880715705765407
subsample_it_4_size_100000,4,100000,jl,0.6526324327397081,0.9458572278223478,0.9930244145490782
subsample_it_4_size_100000,4,100000,jl32,0.7444258353733905,0.9596417009675798,0.9930244145490782
subsample_it_4_size_100000,4,100000,py,0.7018672182384729,0.9478785713990984,1.0
