dataset,it,size,implementation,ari,ri,jaccard
fullsample,1,1000000,jl,0.8038673449575237,0.9678588000119048,0.9870839542970691
fullsample,1,1000000,jl32,0.5501867373734852,0.9395307881189024,0.9870839542970691
fullsample,1,1000000,py,0.6645573440650127,0.9401111414140976,1.0
subsample_it_1_size_100000,1,100000,jl,0.8480796348552977,0.9757128764340656,0.9890601690701144
subsample_it_1_size_100000,1,100000,jl32,0.7859509758154154,0.9650389087606644,0.9890601690701144
subsample_it_1_size_100000,1,100000,py,0.6698887899511217,0.9411027583402781,1.0
subsample_it_1_size_12000,1,12000,jl,0.7772144509540436,0.9563051375194603,0.9870839542970691
subsample_it_1_size_12000,1,12000,jl32,0.8632132086096831,0.9718754294598703,0.9870839542970691
subsample_it_1_size_12000,1,12000,py,0.5725251412121216,0.914020010327902,1.0
subsample_it_1_size_125000,1,125000,jl,0.8316291754401586,0.9736400206725018,0.9900497512437811
subsample_it_1_size_125000,1,125000,jl32,0.8392046642400223,0.9750967438689293,0.9900497512437811
subsample_it_1_size_125000,1,125000,py,0.5531708829320978,0.9167350032445551,1.0
subsample_it_1_size_25000,1,25000,jl,0.8206751427541915,0.966881817450608,0.9890601690701144
subsample_it_1_size_25000,1,25000,jl32,0.8500606032911547,0.9725048987528484,0.9890601690701144
subsample_it_1_size_25000,1,25000,py,0.5934424187986596,0.9119698996766297,1.0
subsample_it_1_size_250000,1,250000,jl,0.7011723039043939,0.9480554468363406,0.9930244145490782
subsample_it_1_size_250000,1,250000,jl32,0.6620767210943523,0.9296152656094213,0.9930244145490782
subsample_it_1_size_250000,1,250000,py,0.7216338811082098,0.9466914444499027,1.0
subsample_it_1_size_3000,1,3000,jl,0.8086900792976477,0.9580294683687541,0.9841269841269841
subsample_it_1_size_3000,1,3000,jl32,0.8661195297730626,0.9693479424637466,0.9841269841269841
subsample_it_1_size_3000,1,3000,py,0.5328909657034555,0.8759152607871451,0.999000499750125
subsample_it_1_size_50000,1,50000,jl,0.6686219693024775,0.9431980103221056,0.9860973187686196
subsample_it_1_size_50000,1,50000,jl32,0.724487483721004,0.9481046186493487,0.9860973187686196
subsample_it_1_size_50000,1,50000,py,0.5849928577725092,0.9233927770849819,1.0
subsample_it_1_size_500000,1,500000,jl,0.7858139573196814,0.9623647679086532,0.9900497512437811
subsample_it_1_size_500000,1,500000,jl32,0.6170178686960678,0.9405659641126122,0.9900497512437811
subsample_it_1_size_500000,1,500000,py,0.6596100808827626,0.9342746941278446,0.999000499750125
subsample_it_1_size_6000,1,6000,jl,0.832117581173333,0.968085217319353,0.9890601690701144
subsample_it_1_size_6000,1,6000,jl32,0.906837524190942,0.9833257106780082,0.9890601690701144
subsample_it_1_size_6000,1,6000,py,0.7073699168517258,0.9377072072914524,1.0
subsample_it_1_size_75000,1,75000,jl,0.7612352592313484,0.9628763067110161,0.9920318725099602
subsample_it_1_size_75000,1,75000,jl32,0.7456164706943063,0.9610367653427443,0.9920318725099602
subsample_it_1_size_75000,1,75000,py,0.5723024878131722,0.9194492942243219,1.0
subsample_it_1_size_750000,1,750000,jl,0.6803059201695928,0.9514928990260905,0.9890601690701144
subsample_it_1_size_750000,1,750000,jl32,0.6207524575411443,0.9497849858885287,0.9890601690701144
subsample_it_1_size_750000,1,750000,py,0.7007534415772552,0.9487742806903049,1.0
subsample_it_2_size_100000,2,100000,jl,0.8366546885162254,0.9734020817716145,0.9870839542970691
subsample_it_2_size_100000,2,100000,jl32,0.851120431902069,0.9760971437079554,0.9870839542970691
subsample_it_2_size_100000,2,100000,py,0.6648717157890592,0.9392159566555512,1.0
subsample_it_2_size_12000,2,12000,jl,0.9242826456076231,0.9832807377978228,0.9910403185664509
subsample_it_2_size_12000,2,12000,jl32,0.8851109162628109,0.9749350120901242,0.9910403185664509
subsample_it_2_size_12000,2,12000,py,0.5023221746484346,0.8908620134429648,1.0
subsample_it_2_size_125000,2,125000,jl,0.833823536282686,0.9738656118246022,0.9910403185664509
subsample_it_2_size_125000,2,125000,jl32,0.7734835076864066,0.9642382868251533,0.9910403185664509
